14 янв. 2025 12:34:47,308 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 2896, Current connections count : 2
14 янв. 2025 12:34:47,358 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 2896, Current connections count : 2
14 янв. 2025 12:34:47,368 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 2896, Current connections count : 2
14 янв. 2025 12:34:47,380 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 2896, Current connections count : 2
14 янв. 2025 12:34:47,385 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 2896, Current connections count : 2
14 янв. 2025 12:34:47,393 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 2896, Current connections count : 2
14 янв. 2025 12:34:47,399 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 2896, Current connections count : 2
14 янв. 2025 12:34:47,406 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 2896, Current connections count : 2
14 янв. 2025 12:34:47,416 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 2896, Current connections count : 2
14 янв. 2025 12:34:47,416 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 2896, Current connections count : 2
14 янв. 2025 12:34:47,417 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 2896, Current connections count : 2
14 янв. 2025 12:34:48,299 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 2896, Current connections count : 2
14 янв. 2025 12:34:48,302 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 2896, Current connections count : 2
14 янв. 2025 12:34:48,303 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 2896, Current connections count : 2
14 янв. 2025 12:34:48,306 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 2896, Current connections count : 2
14 янв. 2025 12:34:48,307 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 2896, Current connections count : 2
14 янв. 2025 12:34:48,323 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 2896, Current connections count : 2
14 янв. 2025 12:34:48,326 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 2896, Current connections count : 2
14 янв. 2025 12:34:48,335 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 2896, Current connections count : 2
14 янв. 2025 12:34:48,624 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 2896, Current connections count : 2
14 янв. 2025 12:34:48,639 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 2896, Current connections count : 2
14 янв. 2025 12:34:48,641 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 2896, Current connections count : 2
14 янв. 2025 12:34:48,648 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 2896, Current connections count : 2
14 янв. 2025 12:34:48,908 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 2896, Current connections count : 2
14 янв. 2025 12:34:48,909 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 2896, Current connections count : 2
14 янв. 2025 12:34:48,911 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 2896, Current connections count : 2
14 янв. 2025 12:34:48,913 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 2896, Current connections count : 2
14 янв. 2025 12:34:48,943 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 2896, Current connections count : 2
14 янв. 2025 12:34:49,004 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 2896, Current connections count : 2
14 янв. 2025 12:34:49,130 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 0) CONNECTION : 1292, Current connections count : 2
14 янв. 2025 12:34:49,146 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 1) CONNECTION : 1292, Current connections count : 2
14 янв. 2025 12:34:49,235 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 0) CONNECTION : 1292, Current connections count : 2
14 янв. 2025 12:34:49,236 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 1) CONNECTION : 1292, Current connections count : 2
14 янв. 2025 12:34:49,236 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 0) CONNECTION : 1292, Current connections count : 2
14 янв. 2025 12:34:49,696 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION : 5264, Time : 317, Current connections count : 3
14 янв. 2025 12:34:49,820 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION : 5360, Time : 46, Current connections count : 4
14 янв. 2025 12:34:49,826 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 1) CONNECTION : 5360, Current connections count : 4
14 янв. 2025 12:34:51,039 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 1292, Current connections count : 4
14 янв. 2025 12:34:51,043 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 1292, Current connections count : 4
14 янв. 2025 12:34:51,045 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 1292, Current connections count : 4
14 янв. 2025 12:34:51,047 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 1292, Current connections count : 4
14 янв. 2025 12:34:51,048 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 1292, Current connections count : 4
14 янв. 2025 12:34:51,053 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 1292, Current connections count : 4
14 янв. 2025 12:34:51,054 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 1292, Current connections count : 4
14 янв. 2025 12:34:51,068 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 1292, Current connections count : 4
14 янв. 2025 12:34:51,245 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 1292, Current connections count : 4
14 янв. 2025 12:34:51,247 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 1292, Current connections count : 4
14 янв. 2025 12:34:51,269 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 1292, Current connections count : 4
14 янв. 2025 12:34:51,271 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 1292, Current connections count : 4
14 янв. 2025 12:34:51,331 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 1292, Current connections count : 4
14 янв. 2025 12:34:51,334 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 1292, Current connections count : 4
14 янв. 2025 12:34:51,784 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 1292, Current connections count : 4
14 янв. 2025 12:34:51,787 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 1292, Current connections count : 4
14 янв. 2025 12:34:51,788 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 1292, Current connections count : 4
14 янв. 2025 12:34:51,788 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 1292, Current connections count : 4
14 янв. 2025 12:34:51,789 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 1292, Current connections count : 4
14 янв. 2025 12:34:51,790 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 1292, Current connections count : 4
14 янв. 2025 12:34:51,791 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 1292, Current connections count : 4
14 янв. 2025 12:34:51,793 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 1292, Current connections count : 4
14 янв. 2025 12:34:51,794 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 1292, Current connections count : 4
14 янв. 2025 12:34:51,795 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 1292, Current connections count : 4
14 янв. 2025 12:34:51,796 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 1292, Current connections count : 4
14 янв. 2025 12:34:51,798 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 1292, Current connections count : 4
14 янв. 2025 12:34:51,798 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 1292, Current connections count : 4
14 янв. 2025 12:34:51,800 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 1292, Current connections count : 4
14 янв. 2025 12:34:51,801 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 1292, Current connections count : 4
14 янв. 2025 12:34:51,803 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 1292, Current connections count : 4
14 янв. 2025 12:34:51,804 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 1292, Current connections count : 4
